id,name,year,api_pitch_group,team_name,bat_side_formatted,miss_distance,flawed_percent,perfect_percent,tied_up_percent,avg_x_tied_up,centered_percent,flailed_percent,avg_x_flail,early_percent,avg_y_early,on_time_percent,late_percent,avg_y_late,n_swings,whiff_rate,competitive_percent,over_percent,avg_z_over,lined_up_percent,under_percent,avg_z_under,window_start,window_end,window_num
669257,Will Smith,2023,FF,Dodgers,R,0.961220716,0,0.09090909090909091,0,,0.8181818181818182,0.18181818181818182,5.228609771242388,0,,0.5454545454545454,0.45454545454545453,-11.335158558214058,11,0.36363636363636365,0.9090909090909091,0,,0.36363636363636365,0.6363636363636364,3.2403025421669005,2023-07-01,2023-07-14,14
664913,Seth Brown,2023,CH,Athletics,L,2.823841006,0.36363636363636365,0,0,,0.09090909090909091,0.9090909090909091,6.700850435171972,0.6363636363636364,12.074341122185826,0.36363636363636365,0,,11,0.5454545454545454,1,0.6363636363636364,-2.5978473625337033,0.36363636363636365,0,,2023-07-01,2023-07-14,14
643265,Garrett Cooper,2023,FF,Marlins,R,0.977974948,0,0,0.2,-5.90685402840306,0.7,0.1,7.0100994859876415,0,,0.6,0.4,-8.036445624448916,10,0.4,0.9,0.1,-2.3689401727858397,0.5,0.4,3.4110651063294406,2023-07-01,2023-07-14,14
502110,J.D. Martinez,2023,FF,Dodgers,R,2.380191788,0,0.2222222222222222,0,,0.8888888888888888,0.1111111111111111,6.919935769265823,0,,0.6666666666666666,0.3333333333333333,-10.286816682998799,9,0.3333333333333333,0.8888888888888888,0,,0.5555555555555556,0.4444444444444444,4.666204306719648,2023-07-01,2023-07-14,14
593160,Whit Merrifield,2023,FF,Blue Jays,R,5.169302736,0,0.2222222222222222,0,,0.4444444444444444,0.5555555555555556,8.752929574227743,0.4444444444444444,12.394944881529145,0.4444444444444444,0.1111111111111111,-9.834607759172076,9,0.2222222222222222,1,0,,0.6666666666666666,0.3333333333333333,3.0733781033394334,2023-07-01,2023-07-14,14
474832,Brandon Belt,2023,FF,Blue Jays,L,0.1,0,0.1111111111111111,0.1111111111111111,-4.400728635911825,0.8888888888888888,0,,0,,0.3333333333333333,0.6666666666666666,-9.596313952374018,9,0.1111111111111111,0.7777777777777778,0,,0.6666666666666666,0.3333333333333333,2.5011445313039973,2023-07-01,2023-07-14,14
457759,Justin Turner,2023,FF,Red Sox,R,,0,0.375,0.25,-10.761218619245968,0.75,0,,0,,0.875,0.125,-7.058972023562593,8,0,0.875,0,,0.625,0.375,2.800761213017711,2023-07-01,2023-07-14,14
593428,Xander Bogaerts,2023,FF,Padres,R,0.98163036,0,0.125,0.25,-4.707761330079853,0.75,0,,0,,0.875,0.125,-8.903888925423555,8,0.125,1,0.375,-2.462319412026565,0.5,0.125,2.2771607949662758,2023-07-01,2023-07-14,14
669221,Sean Murphy,2023,CU,Braves,R,3.585488984,0.125,0,0,,0.625,0.375,9.238370564513378,0.875,14.93211027373079,0.125,0,,8,0.375,1,0.375,-3.564692530922206,0.625,0,,2023-07-01,2023-07-14,14
547989,José Abreu,2023,FF,Astros,R,6.965442984,0.125,0.375,0.125,-4.2860442161249,0.75,0.125,6.56332604313495,0,,0.5,0.5,-12.725905875952346,8,0.25,0.75,0.125,-9.030637685326012,0.75,0.125,3.178244445859732,2023-07-01,2023-07-14,14
650559,Bryan De La Cruz,2023,FF,Marlins,R,1.810447011,0.2857142857142857,0.2857142857142857,0,,0.2857142857142857,0.7142857142857143,8.897081982339564,0.42857142857142855,11.384390312497109,0.42857142857142855,0.14285714285714285,-17.759236148327506,7,0.5714285714285714,1,0.2857142857142857,-3.392658085383278,0.7142857142857143,0,,2023-07-01,2023-07-14,14
641313,Tim Anderson,2023,FF,White Sox,R,1.350688416,0,0.14285714285714285,0.2857142857142857,-5.904339788811589,0.2857142857142857,0.42857142857142855,7.157982510635418,0.14285714285714285,12.271947564595836,0.42857142857142855,0.42857142857142855,-10.380719029155117,7,0.14285714285714285,0.8571428571428571,0,,0.5714285714285714,0.42857142857142855,2.8546586177751996,2023-07-01,2023-07-14,14
680757,Steven Kwan,2023,FF,Guardians,L,,0,0.14285714285714285,0.14285714285714285,-5.660265139463377,0.8571428571428571,0,,0.14285714285714285,7.713444953320589,0.5714285714285714,0.2857142857142857,-12.627730948592182,7,0,0.7142857142857143,0.14285714285714285,-2.0412645226305974,0.5714285714285714,0.2857142857142857,2.756682514187684,2023-07-01,2023-07-14,14
